iter	Logloss
0	0.6753476701
1	0.6588977742
2	0.6445933216
3	0.6298001847
4	0.6154088434
5	0.6020375378
6	0.5895923543
7	0.5772622162
8	0.5649735361
9	0.5533123088
10	0.542203968
11	0.5313974632
12	0.5212077015
13	0.5123537459
14	0.5029982081
15	0.4939681143
16	0.4854515795
17	0.4776217479
18	0.4697899009
19	0.4626244887
20	0.4555885747
21	0.4490617284
22	0.4415952862
23	0.4357778297
24	0.4297557039
25	0.4232398267
26	0.4177157996
27	0.4123273742
28	0.4064947452
29	0.4016769121
30	0.3970221178
31	0.3919935118
32	0.3875601715
33	0.3833622195
34	0.3790037911
35	0.3752257437
36	0.3714780412
37	0.3673691948
38	0.3649285083
39	0.3614939564
40	0.3579356355
41	0.354843773
42	0.3516691388
43	0.3483244122
44	0.3453067708
45	0.3424001442
46	0.3396027187
47	0.3371484145
48	0.3347771411
49	0.3322222728
50	0.330224523
51	0.3278943908
52	0.3255935669
53	0.3233949481
54	0.321206809
55	0.3192128883
56	0.3175231646
57	0.3154968262
58	0.3134707181
59	0.3117079825
60	0.3098127257
61	0.3079998088
62	0.3063145476
63	0.3047016648
64	0.3029866345
65	0.3018007099
66	0.3004533876
67	0.2989241402
68	0.2975972589
69	0.2964782715
70	0.2954221618
71	0.2943866946
72	0.2931679204
73	0.2921444875
74	0.2909931111
75	0.2901108652
76	0.2889472242
77	0.28764516
78	0.286548888
79	0.2855566061
80	0.2843802974
81	0.2835279357
82	0.2825648758
83	0.2817102972
84	0.2808714669
85	0.280181165
86	0.2792525957
87	0.2784409721
88	0.277251679
89	0.2764649589
90	0.2757514234
91	0.2749916509
92	0.2743765201
93	0.2737615621
94	0.2729922601
95	0.272320096
96	0.271687576
97	0.2712141217
98	0.2705656232
99	0.2697863885
100	0.2692281183
101	0.2684881822
102	0.2678972352
103	0.2672351477
104	0.2665464293
105	0.2659799828
106	0.2655302803
107	0.2651721594
108	0.2646261827
109	0.264182555
110	0.2638529652
111	0.2633119403
112	0.2629514298
113	0.262345915
114	0.2620112581
115	0.2614218658
116	0.2608605727
117	0.2605848204
118	0.2602602113
119	0.259803628
120	0.2593728695
121	0.2589807762
122	0.2587402344
123	0.2583475941
124	0.2578627676
125	0.2574631313
126	0.257006001
127	0.2565600125
128	0.2562416509
129	0.2557596459
130	0.2552880629
131	0.254899482
132	0.2545159106
133	0.2541729621
134	0.2539991271
135	0.2537574912
136	0.2535908825
137	0.2532195181
138	0.2529122982
139	0.2525703286
140	0.2522897972
141	0.2521431977
142	0.251843636
143	0.2514440572
144	0.2513041658
145	0.2511722781
146	0.2510368491
147	0.2506799086
148	0.2504277067
149	0.2500932226
150	0.2498608859
151	0.2495467852
152	0.2494368643
153	0.2491567936
154	0.2489895515
155	0.2488868857
156	0.2485657602
157	0.2484205138
158	0.2482425906
159	0.247929699
160	0.2476588987
161	0.2475070306
162	0.2471877764
163	0.2469070722
164	0.2466681714
165	0.2463415182
166	0.2462428543
167	0.2460588851
168	0.2459006256
169	0.2456403624
170	0.2452922605
171	0.245114654
172	0.2450380433
173	0.2449347154
174	0.2447313417
175	0.2446703065
176	0.2445733988
177	0.2445118454
178	0.2441987811
179	0.2441089558
180	0.2439989198
181	0.243724895
182	0.2436702224
183	0.2435670961
184	0.2434842667
185	0.2433982993
186	0.2431469036
187	0.2429988645
188	0.2428822355
189	0.2426811938
190	0.2424135604
191	0.2421937763
192	0.2421558884
193	0.2420293268
194	0.2418773147
195	0.2416493254
196	0.241374552
197	0.2412591322
198	0.2411613176
199	0.2410651153
200	0.2408979884
201	0.2408633826
202	0.240711572
203	0.2405706442
204	0.240353955
205	0.2401997404
206	0.2401272468
207	0.2400654487
208	0.2398511779
209	0.2396230446
210	0.2394874429
211	0.2394587967
212	0.2393601759
213	0.2391336981
214	0.2388954307
215	0.2386832039
216	0.2386379314
217	0.2384904106
218	0.2383467044
219	0.2381861273
220	0.2380331219
221	0.2379639823
222	0.2379211138
223	0.2377866925
224	0.2376692286
225	0.2375999739
226	0.2374769535
227	0.2374151842
228	0.2372204187
229	0.2371386258
230	0.2370784112
231	0.2369990655
232	0.2369459476
233	0.2368052357
234	0.2367184045
235	0.2365341187
236	0.236447086
237	0.2363721164
238	0.2362909425
239	0.2362185784
240	0.236091988
241	0.2359965198
242	0.23594464
243	0.2358615515
244	0.2357493994
245	0.2355737938
246	0.2355309109
247	0.2354330963
248	0.2353716436
249	0.2353464666
250	0.2352274913
251	0.2350855989
252	0.2350254851
253	0.2349396184
254	0.2349270659
255	0.2346711932
256	0.2346114105
257	0.2345919051
258	0.2345372758
259	0.234516043
260	0.2344403825
261	0.234424332
262	0.2343281728
263	0.2342236501
264	0.2339765153
265	0.2338365087
266	0.2337412564
267	0.2336002854
268	0.2335672199
269	0.233526525
270	0.2334781575
271	0.2334689734
272	0.233336625
273	0.2332373565
274	0.2331623293
275	0.2330536464
276	0.2329749629
277	0.2328975606
278	0.2328062237
279	0.2327666948
280	0.2327083084
281	0.2326145388
282	0.2325612482
283	0.2324634912
284	0.2324142024
285	0.2323120981
286	0.2322800258
287	0.2321833197
288	0.2320789841
289	0.2319662562
290	0.2319057681
291	0.2318556732
292	0.2318226796
293	0.2317093039
294	0.2315839659
295	0.2315074273
296	0.2314316948
297	0.2313180024
298	0.2313042983
299	0.2311958313
300	0.2310186998
301	0.2309980284
302	0.2309689504
303	0.2309388503
304	0.2308518896
305	0.2308409925
306	0.2308137426
307	0.2305750433
308	0.2304802373
309	0.2304467255
310	0.2304423206
311	0.2303770245
312	0.2303683011
313	0.230344506
314	0.2302667582
315	0.2302319077
316	0.2301930841
317	0.2301322793
318	0.230077578
319	0.2300557982
320	0.2299153742
321	0.2299066508
322	0.229892486
323	0.2298899381
324	0.2298705623
325	0.2298097431
326	0.2297813703
327	0.2297498595
328	0.2297457713
329	0.2297374653
